2024-03-12 19:51:19,735 INFO    StreamThr :89417 [internal.py:wandb_internal():86] W&B internal server running at pid: 89417, started at: 2024-03-12 19:51:19.734873
2024-03-12 19:51:19,736 DEBUG   HandlerThread:89417 [handler.py:handle_request():146] handle_request: status
2024-03-12 19:51:19,740 INFO    WriterThread:89417 [datastore.py:open_for_write():87] open: /home/uosai/바탕화면/mini-marl/vdn/wandb/run-20240312_195119-m77njtqt/run-m77njtqt.wandb
2024-03-12 19:51:19,740 DEBUG   SenderThread:89417 [sender.py:send():378] send: header
2024-03-12 19:51:19,754 DEBUG   SenderThread:89417 [sender.py:send():378] send: run
2024-03-12 19:51:20,254 INFO    SenderThread:89417 [dir_watcher.py:__init__():211] watching files in: /home/uosai/바탕화면/mini-marl/vdn/wandb/run-20240312_195119-m77njtqt/files
2024-03-12 19:51:20,254 INFO    SenderThread:89417 [sender.py:_start_run_threads():1099] run started: m77njtqt with start time 1710240679.734942
2024-03-12 19:51:20,260 DEBUG   HandlerThread:89417 [handler.py:handle_request():146] handle_request: check_version
2024-03-12 19:51:20,261 DEBUG   SenderThread:89417 [sender.py:send_request():405] send_request: check_version
2024-03-12 19:51:20,320 DEBUG   HandlerThread:89417 [handler.py:handle_request():146] handle_request: run_start
2024-03-12 19:51:20,330 DEBUG   HandlerThread:89417 [system_info.py:__init__():26] System info init
2024-03-12 19:51:20,330 DEBUG   HandlerThread:89417 [system_info.py:__init__():41] System info init done
2024-03-12 19:51:20,330 INFO    HandlerThread:89417 [system_monitor.py:start():194] Starting system monitor
2024-03-12 19:51:20,330 INFO    SystemMonitor:89417 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-12 19:51:20,330 INFO    HandlerThread:89417 [system_monitor.py:probe():214] Collecting system info
2024-03-12 19:51:20,330 INFO    SystemMonitor:89417 [interfaces.py:start():190] Started cpu monitoring
2024-03-12 19:51:20,331 INFO    SystemMonitor:89417 [interfaces.py:start():190] Started disk monitoring
2024-03-12 19:51:20,331 INFO    SystemMonitor:89417 [interfaces.py:start():190] Started gpu monitoring
2024-03-12 19:51:20,332 INFO    SystemMonitor:89417 [interfaces.py:start():190] Started memory monitoring
2024-03-12 19:51:20,333 INFO    SystemMonitor:89417 [interfaces.py:start():190] Started network monitoring
2024-03-12 19:51:20,344 DEBUG   HandlerThread:89417 [system_info.py:probe():150] Probing system
2024-03-12 19:51:20,351 DEBUG   HandlerThread:89417 [system_info.py:_probe_git():135] Probing git
2024-03-12 19:51:20,365 DEBUG   HandlerThread:89417 [system_info.py:_probe_git():143] Probing git done
2024-03-12 19:51:20,366 DEBUG   HandlerThread:89417 [system_info.py:probe():198] Probing system done
